,a,b,distance
12613,%C3%85land,English_language,67.91243538204063
6215,%C3%85land,Whale,0.45141371564493116
25682,%C3%89douard_Manet,Drawing,0.8148983306748541
62715,%C3%89douard_Manet,Printmaking,0.4850955707454903
15764,%C3%89ire,Fruit,1.1282372244600907
19744,10th_century,Viking,0.14800328232218118
5850,10th_century,15th_century,0.4484609650782507
10464,10th_century,7th_century,0.5282243700367578
41221,10th_century,11th_century,0.09851671050698593
58712,10th_century,Iceland,0.4779388642099294
36412,10th_century,Planet,0.41294192099514004
4534,10th_century,6th_century,0.343910847243781
64101,10th_century,3rd_century,1.4291110761816528
41772,10th_century,Katana,0.4686633408673806
45270,10th_century,4th_century,1.279731990585633
19999,10th_century,Siege_of_Antioch,0.5410380798602785
54284,10th_century,Ibn_Battuta,0.9595058785506404
1910,10th_century,13th_century,0.5639594634655904
10940,10th_century,China,0.623103306268552
33845,10th_century,Egypt,0.8920079845063859
48928,10th_century,Longship,0.29333728607787946
55034,10th_century,Jomsvikings,0.3833334463093144
53324,10th_century,Rome,0.552003903007667
51377,10th_century,Magna_Carta,0.645396948278691
16562,10th_century,5th_century,0.7033901490105628
23292,10th_century,Piano,1.6875325019535479
44597,10th_century,Sutton_Hoo,0.8630182495503838
40962,10th_century,Civilization,0.37194714960392733
32249,10th_century,9th_century,0.08608025173106253
64697,10th_century,Roman_Empire,0.6179249696010961
53112,10th_century,Persian_Empire,1.1574635022846935
11974,10th_century,16th_century,1.1173049497939391
14383,11th_century,10th_century,0.1727385394718872
25662,11th_century,William_II_of_England,0.22227840419364173
64145,11th_century,Edward_the_Confessor,0.2543175141715225
23293,11th_century,Piano,1.4800618706472977
53,11th_century,Elizabeth_I_of_England,1.940447491537062
19756,11th_century,Viking,0.16912073610433168
43361,11th_century,Saladin,0.4077937612137706
45491,11th_century,John_of_England,0.6172783439293206
24236,11th_century,15th_century,0.5541734915492519
62947,11th_century,Norman_conquest_of_England,0.24601586866521247
57156,11th_century,John_Locke,1.8780229354851474
51378,11th_century,Magna_Carta,0.5007240576034759
51855,11th_century,Calligraphy,0.3632209130900547
9083,11th_century,German_Crusade%2C_1096,0.4318632686831826
45397,11th_century,William_and_Mary,1.8667901353234655
54858,11th_century,Thomas_Becket,0.5481663598374723
30374,11th_century,Guqin,0.6740111618010416
54585,11th_century,Malcolm_III_of_Scotland,0.4584869216013906
61068,11th_century,Macbeth_of_Scotland,0.23790382607670155
11975,11th_century,16th_century,0.8887396321122072
63984,11th_century,Galileo_Galilei,0.5116194506642622
3596,11th_century,Beijing,0.46319646129068914
59268,11th_century,African_Penguin,1.1030351280217638
4533,11th_century,6th_century,0.47007644013234834
32248,11th_century,9th_century,0.2179820194856083
20000,11th_century,Siege_of_Antioch,0.3647089933825917
52826,11th_century,3rd_century,0.9825308436617988
32308,11th_century,First_Crusade,0.25185647280032175
45269,11th_century,4th_century,1.5428755811992967
11522,11th_century,Leif_Ericson,0.2365563063024954
57549,11th_century,Second_Crusade,0.3280392477403833
16561,11th_century,5th_century,0.7361015754831627
53323,11th_century,Rome,0.8716214981947986
1911,11th_century,13th_century,0.348333778850477
54285,11th_century,Ibn_Battuta,0.7676860595058077
44703,12th_century,19th_century,0.34797342247633045
31277,12th_century,Second_Crusade,0.23866594274286101
61067,12th_century,Macbeth_of_Scotland,0.4694444711871877
32307,12th_century,First_Crusade,0.4969765751085419
43051,12th_century,8th_century,0.2641813361908241
32247,12th_century,9th_century,0.3868586144363768
28575,12th_century,Matilda_of_Boulogne,0.30870559499545414
48704,12th_century,Sulfur,1.1776626132106087
54286,12th_century,Ibn_Battuta,0.5132233621088966
4532,12th_century,6th_century,0.4301203161256472
1912,12th_century,13th_century,0.13004006327082276
54859,12th_century,Thomas_Becket,0.3074100328917392
57157,12th_century,John_Locke,1.609688368538079
3671,12th_century,Genghis_Khan,0.19811957178197306
43983,12th_century,Haemophilia,0.550306082250692
45268,12th_century,4th_century,1.7989809063306956
57061,12th_century,Henry_II_of_England,0.3585408555547171
62946,12th_century,Norman_conquest_of_England,0.48545158467507116
5853,12th_century,15th_century,0.5040543626898812
63983,12th_century,Galileo_Galilei,0.7781876539153115
16560,12th_century,5th_century,1.0446365165308116
45398,12th_century,William_and_Mary,1.6369001564243804
23294,12th_century,Piano,1.204837252379415
11976,12th_century,16th_century,0.6573461757229578
36392,12th_century,2nd_century,0.18809560915360513
19627,12th_century,11th_century,0.26638992293102465
14382,12th_century,10th_century,0.33932774745567346
52825,12th_century,3rd_century,1.172636518837371
30986,12th_century,Magna_Carta,0.2978556482822812
53548,12th_century,Ganges_River,0.3510520683214416
15655,12th_century,The_Anarchy,0.176190934791646
14567,12th_century,Richard_I_of_England,0.245667881762366
19751,12th_century,Viking,0.32197444498170535
45492,12th_century,John_of_England,0.35941860475535264
54,12th_century,Elizabeth_I_of_England,1.6600382430034406
6349,12th_century,Crusades,0.46700657339287965
6376,12th_century,Number,0.40968601969406954
53322,12th_century,Rome,1.1826903254545638
45267,13th_century,4th_century,2.03964531734259
11977,13th_century,16th_century,0.43334454680945345
62585,13th_century,Marco_Polo,0.2173480431389564
55785,13th_century,Genghis_Khan,0.2304162483580694
25460,13th_century,Ibn_Battuta,0.26556674353547544
44314,13th_century,History,0.7251252971776972
44391,13th_century,Great_Wall_of_China,1.0305807804845089
52824,13th_century,3rd_century,1.3363846345470387
63982,13th_century,Galileo_Galilei,1.01351827891502
19626,13th_century,11th_century,0.501563159245118
61066,13th_century,Macbeth_of_Scotland,0.6738522139792642
28417,13th_century,Children%27s_Crusade,0.5643626452479136
32246,13th_century,9th_century,0.5298593198442526
15654,13th_century,The_Anarchy,0.32795354551124545
49441,13th_century,12th_century,0.14690369731724137
53321,13th_century,Rome,1.457306805005295
46544,13th_century,Geometry,0.922450918440235
37691,13th_century,Thomas_Aquinas,0.21904685090710935
4531,13th_century,6th_century,0.5455434473510898
5854,13th_century,15th_century,0.2897072676065779
16559,13th_century,5th_century,1.1825847170628145
22855,13th_century,Dante_Alighieri,0.22474306010799772
9342,13th_century,Axe,1.3352355193378638
45399,13th_century,William_and_Mary,1.4131590132215428
31729,13th_century,Time,0.23372509318557838
19755,13th_century,Viking,0.3707471134709422
31276,13th_century,Second_Crusade,0.44936401095516987
57158,13th_century,John_Locke,1.3485309094044204
14381,13th_century,10th_century,0.480391547693744
30987,13th_century,Magna_Carta,0.1365715547912777
55,13th_century,Elizabeth_I_of_England,1.3871290621334837
62945,13th_century,Norman_conquest_of_England,0.6968292208996985
52823,14th_century,3rd_century,1.4917914528442693
44315,14th_century,History,0.48791749873509105
36791,14th_century,Crusades,0.7567318866455974
63981,14th_century,Galileo_Galilei,1.2387856073463583
61065,14th_century,Macbeth_of_Scotland,0.8695189961055096
1916,14th_century,13th_century,0.04627570988572695
32245,14th_century,9th_century,0.6647878552977163
12769,14th_century,English_language,14.365683533006756
19754,14th_century,Viking,0.5195980017403589
15653,14th_century,The_Anarchy,0.524103874372099
49440,14th_century,12th_century,0.31959162863198454
53320,14th_century,Rome,1.7201800315209217
44700,14th_century,19th_century,1.61363033256544
31273,14th_century,Second_Crusade,0.5733929256123442
45400,14th_century,William_and_Mary,1.2156367940449169
46545,14th_century,Geometry,0.6939734741391336
14380,14th_century,10th_century,0.6134925132962156
57159,14th_century,John_Locke,1.117976974870153
4530,14th_century,6th_century,0.8701300826769568
27775,14th_century,Edward_II_of_England,0.2717015938408656
19625,14th_century,11th_century,0.7266798293049248
47726,14th_century,Joan_of_Arc,0.35336123425832716
55784,14th_century,Genghis_Khan,0.45097935056738975
62584,14th_century,Marco_Polo,0.42540176762871434
5855,14th_century,15th_century,0.14064650846825566
16558,14th_century,5th_century,1.3447453012652593
62944,14th_century,Norman_conquest_of_England,0.8991678472578785
25461,14th_century,Ibn_Battuta,0.10364113006307855
53810,14th_century,Order_of_the_Garter,0.4297582856314253
12443,14th_century,Black_Death,0.06435603588594763
11978,14th_century,16th_century,0.2775698541732357
17003,14th_century,Katana,0.49320255313129535
56,14th_century,Elizabeth_I_of_England,1.1462005218236682
6162,15th_century,Edward_VI_of_England,0.41873733540619124
60657,15th_century,Medieval_music,0.5284975488112008
9861,15th_century,Philosophy_of_mind,0.6360139313150899
19624,15th_century,11th_century,1.0200963472131206
47727,15th_century,Joan_of_Arc,0.20446995290237863
45401,15th_century,William_and_Mary,1.026561094187311
54584,15th_century,Malcolm_III_of_Scotland,0.7208018535720062
36391,15th_century,2nd_century,0.21116107983964688
62943,15th_century,Norman_conquest_of_England,1.162895518640775
58578,15th_century,Baghdad,0.28950741180344747
35102,15th_century,Damascus_steel,0.6949293770801548
18534,15th_century,Calligraphy,1.0691346580708105
20431,15th_century,Black_Death,0.2959437287625846
49439,15th_century,12th_century,0.47650310597944173
19753,15th_century,Viking,0.5618350140902829
61064,15th_century,Macbeth_of_Scotland,1.1245506020124907
46222,15th_century,Allegory_in_the_Middle_Ages,0.5491524602797688
11979,15th_century,16th_century,0.1305884034302611
55783,15th_century,Genghis_Khan,0.621578180801278
3004,15th_century,World_War_II,0.8881649293860173
65308,15th_century,Christopher_Columbus,0.29616204507617827
5567,15th_century,10th_century,0.5520015607919292
62583,15th_century,Marco_Polo,0.6965784839571749
1915,15th_century,13th_century,0.19752153467114006
21764,15th_century,Baroque,1.396405052584792
31564,15th_century,Technology,0.8851928424554212
58253,15th_century,Battle_of_Bicocca,1.3952674041207345
23109,15th_century,5th_century,0.9412899467728901
